placement,order,traffic,traffic_kind,row_hit_rate,row_miss_rate,bank_conflict_rate,ch_balance_std,subch_balance_std,rank_balance_std,bg_balance_std,bank_balance_std,avg_parallelism,window
ord9_xor_rank,col-bg-bank-row-rank,locality,locality,0.00325,0.99675,0.02965,0.0,0.0,0.0175,0.016712869292853337,0.039561597541049834,20.41895,32
ord10_direct,col-bg-row-rank-bank,linear,linear,0.93745,0.06255,0.0,0.0,0.0,1.0,0.0022978250586152115,1.7320569043769893,2.9358,32
ord10_direct,col-bg-row-rank-bank,strided,strided,0.74995,0.25005,0.0,0.0,0.0,1.0,0.0,1.7320508075688772,7.99475,32
ord10_direct,col-bg-row-rank-bank,random,random,0.0,1.0,0.03135,0.0,0.0,0.0039,0.019326665516844855,0.03885357126442819,20.4415,32
ord10_direct,col-bg-row-rank-bank,locality,locality,0.00185,0.99815,0.1143,0.0,0.0,0.0287,0.016712869292853337,0.06408244689460602,14.1816,32
ord10_xor_bg,col-bg-row-rank-bank,linear,linear,0.93745,0.06255,0.0,0.0,0.0,1.0,0.0022978250586152115,1.7320569043769893,2.9358,32
ord10_xor_bg,col-bg-row-rank-bank,strided,strided,0.74995,0.25005,0.0,0.0,0.0,1.0,0.0,1.7320508075688772,7.99475,32
ord10_xor_bg,col-bg-row-rank-bank,random,random,0.0,1.0,0.03105,0.0,0.0,0.0039,0.01798777362543792,0.03639120772934034,20.40605,32
ord10_xor_bg,col-bg-row-rank-bank,locality,locality,0.00185,0.99815,0.11415,0.0,0.0,0.0287,0.02409896263327532,0.06090648569733769,14.1882,32
ord10_xor_rank,col-bg-row-rank-bank,linear,linear,0.93745,0.06255,0.0,0.0,0.0,1.0,0.0022978250586152115,1.7320569043769893,2.9358,32
